date,cnt_events,max_mag_day,avg_mag,min_mag_day,deep_events_percent,total_events,max_magnitude_overall,region_id,region_name
2026-02-18,1,4.6,4.6,4.6,23.404255319148938,47,5.9,JP_HON,Япония (Хонсю)
2026-02-19,1,4.4,4.4,4.4,23.404255319148938,47,5.9,JP_HON,Япония (Хонсю)
2026-02-20,3,5.3,4.666666666666667,4.2,23.404255319148938,47,5.9,JP_HON,Япония (Хонсю)
2026-02-21,1,4.3,4.3,4.3,23.404255319148938,47,5.9,JP_HON,Япония (Хонсю)
2026-02-23,4,4.8,4.525,4.2,23.404255319148938,47,5.9,JP_HON,Япония (Хонсю)
2026-02-24,3,4.6,4.333333333333333,4.0,23.404255319148938,47,5.9,JP_HON,Япония (Хонсю)
2026-02-25,4,5.2,4.7,4.1,23.404255319148938,47,5.9,JP_HON,Япония (Хонсю)
2026-03-01,4,5.5,4.625,4.0,23.404255319148938,47,5.9,JP_HON,Япония (Хонсю)
2026-03-04,1,4.7,4.7,4.7,23.404255319148938,47,5.9,JP_HON,Япония (Хонсю)
2026-03-06,1,4.8,4.8,4.8,23.404255319148938,47,5.9,JP_HON,Япония (Хонсю)
2026-03-08,2,5.7,5.550000000000001,5.4,23.404255319148938,47,5.9,JP_HON,Япония (Хонсю)
2026-03-09,5,5.9,4.74,4.1,23.404255319148938,47,5.9,JP_HON,Япония (Хонсю)
2026-03-10,2,4.7,4.65,4.6,23.404255319148938,47,5.9,JP_HON,Япония (Хонсю)
2026-03-11,1,4.3,4.3,4.3,23.404255319148938,47,5.9,JP_HON,Япония (Хонсю)
2026-03-12,1,4.1,4.1,4.1,23.404255319148938,47,5.9,JP_HON,Япония (Хонсю)
2026-03-13,1,5.0,5.0,5.0,23.404255319148938,47,5.9,JP_HON,Япония (Хонсю)
2026-03-14,1,4.0,4.0,4.0,23.404255319148938,47,5.9,JP_HON,Япония (Хонсю)
2026-03-15,6,4.9,4.633333333333334,4.3,23.404255319148938,47,5.9,JP_HON,Япония (Хонсю)
2026-03-16,1,4.6,4.6,4.6,23.404255319148938,47,5.9,JP_HON,Япония (Хонсю)
2026-03-17,2,4.5,4.4,4.3,23.404255319148938,47,5.9,JP_HON,Япония (Хонсю)
2026-03-18,2,4.8,4.75,4.7,23.404255319148938,47,5.9,JP_HON,Япония (Хонсю)
