event_id,ts,mag,place,depth_km,lat,lon,region_id,region_name
us7000s2z4,2026-03-08 13:08:35.326,5.4,"106 km E of Yamada, Japan",16.0,39.3861,143.186,JP_HON,Япония (Хонсю)
us7000s2z5,2026-03-08 13:17:08.341,5.7,"104 km E of Yamada, Japan",16.0,39.4355,143.1655,JP_HON,Япония (Хонсю)
us6000sh6h,2026-03-09 00:38:23.824,4.1,"209 km E of Yamada, Japan",10.0,39.2493,144.3608,JP_HON,Япония (Хонсю)
us6000sh6j,2026-03-09 02:28:09.986,4.0,"143 km E of Yamada, Japan",10.0,39.5024,143.6219,JP_HON,Япония (Хонсю)
us7000s341,2026-03-09 07:38:59.552,4.9,"Izu Islands, Japan region",10.0,30.785,142.7812,JP_HON,Япония (Хонсю)
us7000s356,2026-03-09 11:59:31.489,4.1,"8 km S of Maizuru, Japan",370.462,35.3771,135.3359,JP_HON,Япония (Хонсю)
us7000s36m,2026-03-09 15:45:43.620,5.9,"19 km NE of Otobe, Japan",144.0,42.0868,140.3092,JP_HON,Япония (Хонсю)
us7000s38u,2026-03-09 21:06:03.583,4.7,"186 km E of Noda, Japan",10.0,40.3803,143.9818,JP_HON,Япония (Хонсю)
us7000s3c4,2026-03-10 06:28:04.928,4.5,"2 km S of Namie, Japan",70.762,37.4592,141.0022,JP_HON,Япония (Хонсю)
us7000s3i8,2026-03-10 22:38:36.605,4.7,"128 km NE of Kuji, Japan",37.79,40.9349,142.9239,JP_HON,Япония (Хонсю)
us7000s721,2026-03-11 00:09:28.400,4.3,"Izu Islands, Japan region",10.0,32.3259,141.9284,JP_HON,Япония (Хонсю)
us7000s3kv,2026-03-11 08:04:30.840,4.4,"Izu Islands, Japan region",105.332,32.1615,140.1614,JP_HON,Япония (Хонсю)
us6000sfve,2026-03-12 17:41:23.010,4.1,"5 km NNE of Ayabe, Japan",369.144,35.3475,135.2654,JP_HON,Япония (Хонсю)
us6000sg57,2026-03-13 19:55:24.163,5.0,"122 km E of Yamada, Japan",32.862,39.418,143.3754,JP_HON,Япония (Хонсю)
us7000s7jx,2026-03-14 05:59:01.500,4.4,"89 km ENE of Hasaki, Japan",35.0,36.0679,141.7359,JP_HON,Япония (Хонсю)
us6000sgag,2026-03-14 10:19:12.237,4.0,"246 km NNE of Ama, Japan",418.535,38.1756,134.048,JP_HON,Япония (Хонсю)
us7000s7k5,2026-03-14 11:17:28.329,4.2,"92 km ESE of Takahagi, Japan",46.409,36.3455,141.6451,JP_HON,Япония (Хонсю)
us6000sge9,2026-03-15 04:48:45.777,4.4,"124 km E of Tomioka, Japan",45.155,37.3915,142.4234,JP_HON,Япония (Хонсю)
us6000sgeb,2026-03-15 05:06:06.748,4.9,"1 km SW of Kiryū, Japan",95.63,36.3911,139.3174,JP_HON,Япония (Хонсю)
us6000sggw,2026-03-15 16:32:42.266,4.8,"139 km SSE of Honchō, Japan",42.917,40.9072,143.2879,JP_HON,Япония (Хонсю)
us6000sghb,2026-03-15 18:39:14.090,4.7,"28 km SE of Nichinan, Japan",49.126,31.4027,131.5527,JP_HON,Япония (Хонсю)
us6000sghd,2026-03-15 18:56:54.260,4.9,"84 km SSW of Honchō, Japan",41.396,41.3983,142.6224,JP_HON,Япония (Хонсю)
us6000sght,2026-03-15 20:25:17.410,4.3,"27 km NW of Yawatahama, Japan",68.535,33.6283,132.2121,JP_HON,Япония (Хонсю)
us6000sgkn,2026-03-16 11:37:49.386,4.6,"37 km SE of Itō, Japan",121.973,34.7732,139.4133,JP_HON,Япония (Хонсю)
us6000sh1g,2026-03-17 21:13:32.051,4.5,"79 km S of Kushiro, Japan",35.0,42.2572,144.3872,JP_HON,Япония (Хонсю)
us6000sh22,2026-03-17 23:39:20.793,4.3,"Izu Islands, Japan region",492.679,30.238,137.4927,JP_HON,Япония (Хонсю)
us7000s83t,2026-03-18 04:33:47.331,4.6,"99 km ENE of Yokohama, Japan",58.348,41.2644,142.4066,JP_HON,Япония (Хонсю)
us6000sh54,2026-03-18 10:08:43.614,4.8,"Izu Islands, Japan region",10.0,32.3944,141.733,JP_HON,Япония (Хонсю)
us6000sh9j,2026-03-18 21:23:02.008,4.7,"52 km NE of Misawa, Japan",64.376,40.9524,141.908,JP_HON,Япония (Хонсю)
us6000sif5,2026-03-22 08:56:06.411,4.4,"74 km SSE of Tateyama, Japan",95.145,34.3646,140.1713,JP_HON,Япония (Хонсю)
us7000s775,2026-03-23 23:47:17.583,4.5,"Izu Islands, Japan region",10.0,32.3148,142.6257,JP_HON,Япония (Хонсю)
us7000s774,2026-03-23 23:49:10.553,4.9,"Izu Islands, Japan region",10.0,32.3287,142.4471,JP_HON,Япония (Хонсю)
us7000s7iw,2026-03-25 11:31:12.439,4.1,"9 km NW of Kobe, Japan",10.0,34.7434,135.1061,JP_HON,Япония (Хонсю)
us7000s7qu,2026-03-26 07:37:53.926,4.9,"89 km NE of Kuji, Japan",46.463,40.6953,142.5904,JP_HON,Япония (Хонсю)
us7000s7rc,2026-03-26 08:51:54.941,4.6,"106 km E of Yamada, Japan",45.294,39.4982,143.1921,JP_HON,Япония (Хонсю)
us7000s7u4,2026-03-26 14:18:50.947,6.5,"122 km E of Yamada, Japan",9.513,39.4462,143.3717,JP_HON,Япония (Хонсю)
us7000s7u5,2026-03-26 14:37:06.227,4.6,"107 km E of Yamada, Japan",10.0,39.5022,143.1955,JP_HON,Япония (Хонсю)
us7000s7u7,2026-03-26 14:47:05.243,4.6,"127 km E of Yamada, Japan",10.0,39.3964,143.4321,JP_HON,Япония (Хонсю)
us7000s7up,2026-03-26 15:59:45.355,4.6,"117 km E of Yamada, Japan",10.0,39.5827,143.3051,JP_HON,Япония (Хонсю)
us7000s7uw,2026-03-26 16:20:32.961,4.8,"122 km E of Miyako, Japan",10.0,39.5986,143.3643,JP_HON,Япония (Хонсю)
us7000s7xc,2026-03-26 19:56:31.413,4.9,"118 km E of Yamada, Japan",10.0,39.4245,143.3275,JP_HON,Япония (Хонсю)
us7000s81u,2026-03-27 06:57:49.756,4.7,"Izu Islands, Japan region",10.0,31.393,141.7105,JP_HON,Япония (Хонсю)
us7000s83k,2026-03-27 15:24:33.227,5.1,"107 km E of Yamada, Japan",16.096,39.3975,143.1958,JP_HON,Япония (Хонсю)
us7000s866,2026-03-27 16:38:52.752,4.2,"122 km E of Miyako, Japan",40.32,39.733,143.3636,JP_HON,Япония (Хонсю)
us7000s87f,2026-03-27 17:19:15.094,4.2,"109 km ENE of Misawa, Japan",47.86,41.0763,142.5808,JP_HON,Япония (Хонсю)
us7000s8cr,2026-03-28 10:36:16.785,4.1,"18 km S of Miura, Japan",33.192,34.9718,139.6338,JP_HON,Япония (Хонсю)
us7000s8pt,2026-03-30 07:46:59.029,4.5,"90 km ENE of Kuji, Japan",35.401,40.5605,142.7159,JP_HON,Япония (Хонсю)
us7000s8wb,2026-03-30 19:05:48.857,4.4,"52 km ESE of Onagawa Chō, Japan",54.379,38.3069,142.0259,JP_HON,Япония (Хонсю)
us7000s954,2026-03-31 15:38:48.865,4.5,"117 km S of Tateyama, Japan",116.409,33.9265,139.9842,JP_HON,Япония (Хонсю)
us7000s999,2026-04-01 01:06:18.554,4.9,"2 km E of Ishige, Japan",63.131,36.1161,139.9992,JP_HON,Япония (Хонсю)
us6000slw1,2026-04-02 00:52:52.373,5.0,"33 km SSE of Onagawa Chō, Japan",66.591,38.167,141.6037,JP_HON,Япония (Хонсю)
us6000smb8,2026-04-03 08:51:49.368,4.4,"36 km E of Miyako, Japan",53.419,39.655,142.3655,JP_HON,Япония (Хонсю)
us6000smj7,2026-04-04 10:36:46.191,5.0,"41 km E of Onagawa Chō, Japan",67.953,38.4373,141.9269,JP_HON,Япония (Хонсю)
us6000smle,2026-04-04 15:18:05.193,4.0,"143 km NW of Mikuni, Japan",372.736,37.1142,135.0029,JP_HON,Япония (Хонсю)
us6000smli,2026-04-04 16:14:13.452,4.6,"54 km SE of Koseda, Japan",42.323,30.0884,131.1042,JP_HON,Япония (Хонсю)
us6000smzy,2026-04-06 06:45:10.543,4.9,"190 km S of Kushimoto, Japan",10.0,31.7549,135.8854,JP_HON,Япония (Хонсю)
